topic,period,p_value,odds_ratio,ci_lower,ci_upper,rate_difference,count_chart_topic,count_nochart_topic,total_chart,total_nochart,p_adjusted,significant,direction
36,1990-1994,0.17776330518220512,2.2630525825965564,0.7921761870449356,8.198323676977939,0.0010877192279409556,3,14,1538,16225,0.4764056578883097,False,neutral
37,1990-1994,1.0,0.7811535493827161,0.26229805432964715,3.5019023514054624,-0.00036370849621604516,2,27,1538,16225,1.0,False,neutral
38,1990-1994,0.4536449808815173,1.3774832557611534,0.6484142587852069,3.358903116340309,0.0010660393803811406,6,46,1538,16225,0.7165656023061606,False,neutral
39,1990-1994,0.09958992538962694,0.4609411656996372,0.21416000359490414,1.189269909931067,-0.0037752188522504368,5,114,1538,16225,0.41168623594390075,False,neutral
40,1990-1994,0.21857890836434102,1.2895479412611575,0.8840712459585375,1.9391650541338308,0.0040298067848705925,28,230,1538,16225,0.5039358546442222,False,neutral
41,1990-1994,1.0,0.9812922591795276,0.41274045106841173,2.883546272942817,-4.945089073717492e-05,4,43,1538,16225,1.0,False,neutral
42,1990-1994,0.8285530224440467,1.0377948037495184,0.49589306891339996,2.5061786635337846,0.00014154015079716545,6,61,1538,16225,1.0,False,neutral
43,1990-1994,0.7224170310845068,0.7763071951596824,0.39263805539483854,1.7425492046851554,-0.0013037963777422909,7,95,1538,16225,0.987794715972693,False,neutral
44,1990-1994,1.0,,0.20917741470265427,531.7241494980188,0.0,0,0,1538,16225,1.0,False,neutral
45,1990-1994,0.07582034008443962,0.44143684871208755,0.2053037683924938,1.1382232188716355,-0.004083385262111761,5,119,1538,16225,0.33866418571049695,False,neutral
46,1990-1994,0.028037989960595495,1.5136191257110645,1.0825394085225635,2.164301398533564,0.00803256385236064,37,260,1538,16225,0.14450348671999216,False,neutral
47,1990-1994,1.0,,0.20917741470265427,531.7241494980188,0.0,0,0,1538,16225,1.0,False,neutral
48,1990-1994,0.43004452392195447,0.6959001782531195,0.3665171207430226,1.478491571060245,-0.002256066650503626,8,121,1538,16225,0.7165656023061606,False,neutral
49,1990-1994,0.8327422057582361,0.7865759266290855,0.35944591801519893,2.05077871786455,-0.0008784545995539805,5,67,1538,16225,1.0,False,neutral
50,1990-1994,0.019459517752595537,0.5367790564640958,0.3262797248152145,0.9432654013663958,-0.0077231551591825775,14,273,1538,16225,0.10864897411865843,False,neutral
51,1990-1994,0.4393480394257382,1.2674950948332244,0.6753018268836105,2.6141371216981697,0.0012292593787381206,9,75,1538,16225,0.7165656023061606,False,neutral
52,1990-1994,1.0,0.8790392539579267,0.23246444274573994,6.888572941762092,-8.940432514962496e-05,1,12,1538,16225,1.0,False,neutral
53,1990-1994,0.6943667896691168,0.8523659976029008,0.5136579218111301,1.5076257816899967,-0.0015598269619560758,14,173,1538,16225,0.9809659870247843,False,neutral
54,1990-1994,1.0,,0.20917741470265427,531.7241494980188,0.0,0,0,1538,16225,1.0,False,neutral
55,1990-1994,0.6264108821558034,0.0,0.021663814998432448,6.094252806631168,-0.0008628659476117103,0,14,1538,16225,0.926988053451806,False,neutral
56,1990-1994,0.1730328127618,0.0,0.010896763838908283,2.921768398805426,-0.0017873651771956856,0,29,1538,16225,0.4764056578883097,False,neutral
57,1990-1994,1.0,0.9861198314953447,0.6562468823094462,1.539746107589098,-0.00020730101927342488,23,246,1538,16225,1.0,False,neutral
58,1990-1994,0.12227033973897197,1.8500163291966036,0.896339244348948,4.273250053718161,0.0020860341307322857,7,40,1538,16225,0.43116382960584854,False,neutral
59,1990-1994,0.7408918725351661,1.0954331467546428,0.6187604700942111,2.098527185937523,0.0006190177546330153,11,106,1538,16225,0.9927951091971225,False,neutral
