n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,cluster_selection_method,n_topics_before,outlier_ratio_before,topic_coverage_before,coherence_before,diversity_before,n_topics_after,outlier_ratio_after,topic_coverage,ratio_topic_0,ratio_topic_1,coherence,diversity,time_seconds
50,5,50,10,0,1,0.5,eom,196,0.710601820415501,0.289398179584499,0.684527198268086,0.957142857142857,196,0.581280884852243,0.418719115147757,0.0635065174642923,0.044270087174274,0.637393584931293,0.884183673469388,1321.510889
90,5,50,10,0,1,0.5,eom,173,0.778111838980756,0.221888161019244,0.700149892139847,0.961271676300578,173,0.588750161906295,0.411249838093705,0.0449451873599265,0.052343814394549,0.615734686444464,0.865895953757225,1482.217986
90,5,50,40,0,1,0.5,leaf,151,0.821416375889503,0.178583624110497,0.727766917174161,0.963576158940397,151,0.603115665856808,0.396884334143192,0.0599072914745052,0.00688445189322427,0.663589294168303,0.88476821192053,1394.460414
30,5,50,10,0,1,0.5,eom,246,0.719758847933683,0.280241152066317,0.690814704733527,0.95650406504065,246,0.603366865925888,0.396633134074112,0.0455143125164359,0.048108738229903,0.63965799802766,0.873170731707317,1440.51505
70,5,50,40,0,1,0.5,leaf,161,0.826228427212818,0.173771572787183,0.722916748716648,0.962732919254658,161,0.604167566146081,0.395832433853919,0.0497768636886375,0.00808942722459249,0.656700871783626,0.875776397515528,1287.447827
50,5,50,40,0,1,0.5,leaf,182,0.816674974585618,0.183325025414382,0.717197869406196,0.963736263736264,182,0.614847494083061,0.385152505916939,0.0480694882191093,0.0069433269094149,0.640333685984158,0.885164835164835,1241.99788
70,5,50,10,0,1,0.5,leaf,202,0.819289025304482,0.180710974695518,0.719712785913714,0.956930693069307,202,0.631367823626152,0.368632176373849,0.0386494856286085,0.00522417643664852,0.630609575848892,0.846534653465347,1420.747326
90,5,50,10,0,1,0.5,leaf,194,0.834329629440648,0.165670370559352,0.712151979076994,0.951030927835052,194,0.639633875899316,0.360366124100684,0.043308461909827,0.00648410178312799,0.630370982451362,0.842783505154639,1517.121058
30,5,50,40,0,1,0.5,leaf,211,0.79630814398474,0.20369185601526,0.720176421108977,0.958767772511848,211,0.645411477488156,0.354588522511844,0.0416638864575688,0.00477672631359974,0.66622777095645,0.881516587677725,1197.898411
50,5,50,10,0,1,0.5,leaf,222,0.848981658469956,0.151018341530044,0.696926198431428,0.951801801801802,222,0.651302904108299,0.348697095891701,0.00391715107721655,0.00449020123480534,0.645983998964497,0.868018018018018,1370.044414
30,5,50,10,0,1,0.5,leaf,277,0.816941874659016,0.183058125340984,0.695715968969241,0.952346570397112,277,0.6682589087712,0.3317410912288,0.0212852808534522,0.00402312610635968,0.642403959231589,0.859927797833935,1491.855052
